nodes,edges,start_node,distances,intermediate_steps
10,6-4-33 4-6-33 3-1-86 1-3-86 5-0-86 0-5-86 7-6-85 6-7-85 3-1-7 1-3-7 4-3-68 3-4-68 0-4-49 4-0-49 7-6-38 6-7-38 0-4-93 4-0-93 0-4-71 4-0-71 1-7-33 7-1-33 3-1-44 1-3-44 3-6-98 6-3-98 7-0-1 0-7-1 6-5-53 5-6-53,8,inf inf inf inf inf inf inf inf 0 inf,8-0
10,3-8-59 8-3-59 0-6-99 6-0-99 9-0-81 0-9-81 2-6-87 6-2-87 6-4-66 4-6-66 2-0-32 0-2-32 5-1-6 1-5-6 8-9-39 9-8-39 8-5-28 5-8-28 3-9-44 9-3-44 4-2-72 2-4-72 9-3-83 3-9-83 6-3-77 3-6-77 7-0-100 0-7-100 4-2-56 2-4-56,2,32 186 0 157 56 180 87 132 152 113,2-0 | 0-32 | 4-56 | 6-87 | 9-113 | 7-132 | 8-152 | 3-157 | 5-180 | 1-186
10,9-3-65 3-9-65 0-1-29 1-0-29 1-8-14 8-1-14 4-8-10 8-4-10 7-3-16 3-7-16 9-7-37 7-9-37 3-5-47 5-3-47 7-6-39 6-7-39 5-3-39 3-5-39 2-9-26 9-2-26 5-3-40 3-5-40 7-4-46 4-7-46 1-4-51 4-1-51 5-0-95 0-5-95 0-4-89 4-0-89,4,53 24 109 62 0 101 85 46 10 83,4-0 | 8-10 | 1-24 | 7-46 | 0-53 | 3-62 | 9-83 | 6-85 | 5-101 | 2-109
10,2-7-71 7-2-71 3-7-31 7-3-31 2-9-82 9-2-82 4-5-17 5-4-17 7-6-61 6-7-61 7-4-59 4-7-59 7-5-82 5-7-82 5-3-24 3-5-24 9-3-78 3-9-78 6-2-43 2-6-43 8-6-87 6-8-87 3-0-5 0-3-5 5-8-15 8-5-15 3-8-67 8-3-67 8-6-59 6-8-59,5,29 inf 117 24 17 0 74 55 15 102,5-0 | 8-15 | 4-17 | 3-24 | 0-29 | 7-55 | 6-74 | 9-102 | 2-117
10,6-9-32 9-6-32 0-7-96 7-0-96 0-9-60 9-0-60 7-8-21 8-7-21 2-7-45 7-2-45 5-7-25 7-5-25 0-9-29 9-0-29 2-1-79 1-2-79 2-6-4 6-2-4 3-2-17 2-3-17 2-3-88 3-2-88 1-6-7 6-1-7 2-6-42 6-2-42 5-6-21 6-5-21 7-8-18 8-7-18,3,82 28 17 0 inf 42 21 62 80 53,3-0 | 2-17 | 6-21 | 1-28 | 5-42 | 9-53 | 7-62 | 8-80 | 0-82
10,3-8-21 8-3-21 7-1-60 1-7-60 0-6-4 6-0-4 7-3-78 3-7-78 2-9-39 9-2-39 6-8-49 8-6-49 9-7-41 7-9-41 7-1-24 1-7-24 0-7-21 7-0-21 0-8-86 8-0-86 3-7-29 7-3-29 7-6-41 6-7-41 0-1-30 1-0-30 6-4-37 4-6-37 7-8-49 8-7-49,6,4 34 105 54 37 inf 0 25 49 66,6-0 | 0-4 | 7-25 | 1-34 | 4-37 | 8-49 | 3-54 | 9-66 | 2-105
10,2-7-33 7-2-33 6-4-24 4-6-24 2-0-83 0-2-83 8-4-10 4-8-10 1-3-45 3-1-45 7-5-25 5-7-25 3-1-78 1-3-78 3-8-20 8-3-20 9-7-62 7-9-62 3-5-20 5-3-20 7-4-48 4-7-48 7-1-32 1-7-32 8-7-8 7-8-8 6-1-17 1-6-17 7-8-15 8-7-15,8,124 40 41 20 10 33 34 8 0 70,8-0 | 7-8 | 4-10 | 3-20 | 5-33 | 6-34 | 1-40 | 2-41 | 9-70 | 0-124
10,5-3-78 3-5-78 4-1-52 1-4-52 3-5-92 5-3-92 4-5-19 5-4-19 5-6-100 6-5-100 2-1-44 1-2-44 0-3-78 3-0-78 5-4-9 4-5-9 9-4-41 4-9-41 1-7-1 7-1-1 5-7-83 7-5-83 5-4-68 4-5-68 5-2-67 2-5-67 2-1-86 1-2-86 7-6-85 6-7-85,6,256 86 130 178 109 100 0 85 inf 150,6-0 | 7-85 | 1-86 | 5-100 | 4-109 | 2-130 | 9-150 | 3-178 | 0-256
10,3-0-51 0-3-51 5-3-75 3-5-75 9-8-28 8-9-28 6-9-29 9-6-29 8-0-88 0-8-88 7-9-98 9-7-98 3-7-61 7-3-61 9-7-92 7-9-92 4-7-2 7-4-2 7-5-40 5-7-40 7-2-54 2-7-54 9-1-87 1-9-87 9-0-22 0-9-22 7-0-48 0-7-48 3-8-74 8-3-74,9,22 87 124 73 72 110 29 70 28 0,9-0 | 0-22 | 8-28 | 6-29 | 7-70 | 4-72 | 3-73 | 1-87 | 5-110 | 2-124
10,8-9-11 9-8-11 4-1-22 1-4-22 0-8-63 8-0-63 8-3-25 3-8-25 3-7-79 7-3-79 2-4-43 4-2-43 6-4-20 4-6-20 0-4-84 4-0-84 3-9-84 9-3-84 9-5-90 5-9-90 6-2-49 2-6-49 3-1-76 1-3-76 8-3-13 3-8-13 9-0-82 0-9-82 3-9-21 9-3-21,7,155 155 220 79 177 190 197 0 92 100,7-0 | 3-79 | 8-92 | 9-100 | 0-155 | 1-155 | 4-177 | 5-190 | 6-197 | 2-220
10,2-7-19 7-2-19 6-2-76 2-6-76 8-7-63 7-8-63 1-6-3 6-1-3 8-3-76 3-8-76 5-8-73 8-5-73 9-8-33 8-9-33 0-5-77 5-0-77 3-7-96 7-3-96 2-9-10 9-2-10 4-3-99 3-4-99 3-9-2 9-3-2 8-1-7 1-8-7 3-0-16 0-3-16 2-5-35 5-2-35,3,16 42 12 0 99 47 45 31 35 2,3-0 | 9-2 | 2-12 | 0-16 | 7-31 | 8-35 | 1-42 | 6-45 | 5-47 | 4-99
10,1-9-61 9-1-61 4-5-84 5-4-84 1-8-15 8-1-15 1-8-3 8-1-3 3-4-7 4-3-7 8-1-61 1-8-61 5-2-11 2-5-11 7-4-72 4-7-72 8-2-47 2-8-47 2-6-72 6-2-72 8-3-63 3-8-63 6-0-77 0-6-77 5-3-53 3-5-53 7-8-4 8-7-4 4-0-58 0-4-58,9,192 61 111 127 134 122 183 68 64 0,9-0 | 1-61 | 8-64 | 7-68 | 2-111 | 5-122 | 3-127 | 4-134 | 6-183 | 0-192
10,1-7-84 7-1-84 6-9-17 9-6-17 3-8-92 8-3-92 3-6-54 6-3-54 5-9-61 9-5-61 8-5-94 5-8-94 0-7-16 7-0-16 3-2-16 2-3-16 5-2-58 2-5-58 5-7-39 7-5-39 6-8-6 8-6-6 6-5-96 5-6-96 3-0-63 0-3-63 0-6-10 6-0-10 6-4-69 4-6-69,6,10 110 70 54 69 65 0 26 6 17,6-0 | 8-6 | 0-10 | 9-17 | 7-26 | 3-54 | 5-65 | 4-69 | 2-70 | 1-110
10,6-0-93 0-6-93 6-4-57 4-6-57 9-6-16 6-9-16 9-6-14 6-9-14 9-5-36 5-9-36 8-5-27 5-8-27 6-4-88 4-6-88 0-1-13 1-0-13 4-5-65 5-4-65 6-3-53 3-6-53 1-3-46 3-1-46 4-7-80 7-4-80 9-6-33 6-9-33 3-1-7 1-3-7 5-1-28 1-5-28,6,73 60 inf 53 57 50 0 137 77 14,6-0 | 9-14 | 5-50 | 3-53 | 4-57 | 1-60 | 0-73 | 8-77 | 7-137
10,6-5-41 5-6-41 6-7-64 7-6-64 7-5-28 5-7-28 7-2-19 2-7-19 3-1-80 1-3-80 9-0-37 0-9-37 1-8-81 8-1-81 6-8-1 8-6-1 9-2-44 2-9-44 1-0-74 0-1-74 6-8-19 8-6-19 6-7-45 7-6-45 5-3-44 3-5-44 2-6-57 6-2-57 5-3-99 3-5-99,9,37 111 44 135 inf 91 101 63 102 0,9-0 | 0-37 | 2-44 | 7-63 | 5-91 | 6-101 | 8-102 | 1-111 | 3-135
10,7-1-22 1-7-22 5-0-41 0-5-41 2-3-91 3-2-91 6-2-1 2-6-1 0-7-1 7-0-1 3-9-56 9-3-56 8-0-62 0-8-62 2-1-13 1-2-13 7-3-16 3-7-16 5-7-2 7-5-2 0-7-63 7-0-63 5-3-5 3-5-5 4-8-45 8-4-45 6-3-63 3-6-63 2-9-75 9-2-75,4,107 130 143 115 0 110 144 108 45 171,4-0 | 8-45 | 0-107 | 7-108 | 5-110 | 3-115 | 1-130 | 2-143 | 6-144 | 9-171
10,7-0-93 0-7-93 3-4-99 4-3-99 3-6-58 6-3-58 9-2-87 2-9-87 3-6-41 6-3-41 5-7-82 7-5-82 4-5-70 5-4-70 7-2-42 2-7-42 7-2-19 2-7-19 2-3-18 3-2-18 9-8-71 8-9-71 4-9-95 9-4-95 9-5-44 5-9-44 9-4-58 4-9-58 2-4-72 4-2-72,8,270 inf 158 176 129 115 217 177 0 71,8-0 | 9-71 | 5-115 | 4-129 | 2-158 | 3-176 | 7-177 | 6-217 | 0-270
10,5-7-95 7-5-95 0-4-31 4-0-31 5-1-87 1-5-87 5-3-97 3-5-97 4-1-29 1-4-29 0-2-69 2-0-69 1-5-85 5-1-85 1-8-8 8-1-8 7-3-79 3-7-79 3-4-12 4-3-12 0-2-45 2-0-45 5-2-31 2-5-31 4-9-58 9-4-58 2-5-56 5-2-56 2-6-26 6-2-26,6,71 131 26 114 102 57 0 152 139 160,6-0 | 2-26 | 5-57 | 0-71 | 4-102 | 3-114 | 1-131 | 8-139 | 7-152 | 9-160
10,9-1-20 1-9-20 4-5-47 5-4-47 2-0-90 0-2-90 6-3-20 3-6-20 2-1-38 1-2-38 0-9-38 9-0-38 2-9-28 9-2-28 1-3-37 3-1-37 7-5-82 5-7-82 5-1-81 1-5-81 1-7-93 7-1-93 1-7-69 7-1-69 4-7-86 7-4-86 4-7-92 7-4-92 9-6-71 6-9-71,7,127 69 107 106 86 82 126 0 inf 89,7-0 | 1-69 | 5-82 | 4-86 | 9-89 | 3-106 | 2-107 | 6-126 | 0-127
