array,queries,results
67 13 48 29 93 50 93 25 44 40,8-8 | 7-7 | 8-8 | 8-9 | 2-5 | 3-9 | 0-3 | 0-9 | 0-9 | 9-9 | 7-8 | 3-7 | 4-9 | 8-8 | 3-9,44 25 44 40 29 25 13 13 13 40 25 25 25 44 25
28 15 12 76 26 87 99 10 96 74,0-8 | 8-8 | 2-2 | 6-9 | 1-9 | 6-6 | 9-9 | 2-7 | 2-9 | 9-9 | 2-3 | 9-9 | 2-6 | 8-9 | 4-8,10 96 12 10 10 99 74 10 10 74 12 74 12 74 10
16 99 47 97 85 91 95 74 82 42,3-5 | 5-9 | 1-4 | 9-9 | 1-9 | 8-8 | 4-9 | 6-9 | 7-7 | 1-1 | 3-4 | 4-7 | 7-7 | 7-8 | 7-9,85 42 47 42 42 82 42 42 74 99 85 74 74 74 42
8 8 3 98 46 79 23 43 17 80,0-7 | 8-8 | 0-5 | 8-9 | 6-7 | 7-8 | 8-9 | 0-6 | 4-8 | 4-8 | 5-6 | 8-9 | 4-6 | 5-8 | 8-9,3 17 3 17 23 17 17 3 17 17 23 17 23 17 17
20 39 84 25 36 42 46 70 36 62,4-6 | 7-7 | 3-6 | 1-6 | 9-9 | 2-3 | 8-9 | 9-9 | 2-6 | 0-0 | 3-4 | 5-8 | 6-8 | 7-9 | 4-6,36 70 25 25 62 25 36 62 25 20 25 36 36 36 36
50 75 52 44 34 41 9 35 9 24,8-9 | 2-3 | 7-8 | 1-3 | 2-5 | 7-8 | 9-9 | 9-9 | 2-6 | 4-6 | 3-4 | 1-3 | 5-6 | 7-7 | 1-6,9 44 9 44 34 9 24 24 9 9 34 44 9 35 9
70 91 45 27 92 9 37 19 29 5,6-7 | 4-6 | 8-8 | 9-9 | 7-9 | 1-2 | 3-4 | 9-9 | 0-6 | 4-8 | 9-9 | 1-8 | 9-9 | 1-9 | 5-8,19 9 29 5 5 45 27 5 9 9 5 9 5 5 9
1 79 22 84 30 20 8 1 64 68,2-7 | 3-4 | 5-6 | 6-7 | 9-9 | 5-8 | 7-8 | 9-9 | 5-9 | 9-9 | 6-8 | 3-7 | 4-8 | 1-7 | 8-9,1 30 8 1 68 1 1 68 1 68 1 1 1 1 64
6 40 70 38 80 3 74 20 52 71,0-9 | 0-5 | 1-4 | 4-8 | 7-9 | 8-9 | 7-9 | 3-5 | 7-9 | 0-4 | 8-9 | 6-6 | 2-9 | 0-5 | 6-7,3 3 38 3 20 52 20 3 20 6 52 74 3 3 20
95 45 42 90 58 44 54 33 5 55,1-7 | 7-9 | 5-8 | 5-5 | 7-9 | 7-9 | 4-4 | 4-8 | 1-9 | 2-3 | 0-2 | 8-9 | 1-2 | 7-9 | 5-8,33 5 5 44 5 5 58 5 5 42 42 5 42 5 5
62 47 51 66 42 68 31 3 85 91,9-9 | 1-5 | 3-5 | 0-3 | 3-9 | 8-8 | 6-7 | 0-1 | 1-4 | 8-8 | 4-5 | 8-9 | 0-9 | 8-8 | 5-9,91 42 42 47 3 85 3 47 42 85 42 85 3 85 3
