initial_array,operations,results
16 98 34 27 7 58 26 59 98 14,update-6-14 | update-7-68 | update-2-66 | update-9-48 | update-9-80 | update-2-18 | query-6-10 | query-3-7 | query-3-9 | update-6-77 | update-6-61 | update-10-85 | query-4-8 | update-9-51 | update-7-64,None None None None None None 465 234 519 None None None 397 None None
15 8 88 45 44 100 89 27 90 98,update-1-1 | query-9-9 | query-6-9 | query-2-4 | update-2-41 | update-9-72 | update-10-32 | query-6-6 | query-2-6 | update-7-44 | query-5-8 | query-1-7 | update-1-64 | query-8-10 | query-9-10,None 90 306 141 None None None 100 326 None 304 475 None 319 292
51 21 28 60 95 15 10 8 40 4,query-4-5 | update-4-23 | query-2-3 | update-10-33 | update-3-91 | query-5-5 | update-7-54 | update-7-36 | query-10-10 | update-7-19 | update-9-37 | query-2-6 | update-2-79 | query-1-3 | update-8-11,155 None 49 None None 95 None None 37 None None 333 None 270 None
98 52 82 1 15 90 49 60 31 85,update-2-20 | update-2-49 | query-6-6 | update-2-90 | query-2-8 | query-8-8 | query-3-5 | update-8-96 | update-1-19 | query-8-9 | update-1-4 | update-6-88 | update-7-22 | query-8-10 | update-2-65,None None 90 None 508 60 98 None None 187 None None None 272 None
55 41 93 78 96 77 24 53 81 69,update-5-28 | query-7-10 | update-5-44 | update-3-25 | update-7-13 | update-9-35 | update-8-18 | update-10-88 | query-4-8 | query-4-6 | query-1-7 | query-10-10 | update-6-99 | query-7-7 | query-1-7,None 227 None None None None None None 431 323 574 157 None 37 673
39 74 41 71 77 94 60 30 89 27,query-3-5 | query-8-9 | query-9-10 | update-1-71 | query-8-8 | query-2-3 | query-7-7 | update-5-100 | update-5-89 | update-8-48 | update-5-81 | update-3-57 | query-4-8 | query-4-4 | update-2-74,189 119 116 None 30 115 60 None None None None None 650 71 None
31 30 65 24 40 7 63 45 77 79,update-8-24 | query-4-4 | query-1-1 | update-2-1 | update-1-1 | query-4-4 | update-1-12 | query-4-6 | query-1-4 | query-3-4 | query-2-5 | update-8-56 | update-5-37 | query-5-7 | update-3-73,None 24 31 None None 24 None 71 164 89 160 None None 147 None
39 54 96 50 34 56 77 8 68 99,update-4-88 | query-1-4 | update-9-31 | update-8-11 | query-2-7 | update-4-88 | query-5-6 | update-8-85 | query-7-7 | query-1-7 | update-6-59 | update-9-27 | update-2-8 | query-9-9 | update-7-68,None 327 None None 455 None 90 None 77 582 None None None 126 None
1 85 7 18 89 39 5 14 71 5,update-4-27 | update-8-42 | query-4-4 | query-1-7 | update-2-18 | update-9-80 | update-6-27 | query-10-10 | query-3-9 | update-10-72 | update-3-80 | query-10-10 | query-8-8 | update-3-71 | query-2-9,None None 45 271 None None None 5 419 None None 77 56 None 673
96 14 97 44 62 68 71 68 97 35,query-2-7 | query-6-6 | query-3-7 | query-7-10 | query-3-6 | update-2-89 | update-6-76 | query-3-5 | update-5-30 | query-1-6 | update-5-51 | update-5-19 | query-8-10 | update-7-79 | update-10-1,356 68 342 271 271 None None 203 None 576 None None 200 None None
96 83 58 23 50 70 88 44 86 73,query-3-10 | update-9-5 | query-10-10 | update-8-15 | update-7-84 | update-10-97 | update-7-78 | query-10-10 | query-3-10 | update-2-50 | query-8-10 | update-4-87 | query-1-1 | query-5-10 | update-3-49,492 None 73 None None None None 170 771 None 320 None 96 690 None
79 17 55 90 84 52 66 64 63 53,update-9-20 | query-1-10 | update-4-19 | update-3-9 | update-1-88 | update-4-15 | query-1-5 | update-1-43 | update-9-81 | query-3-3 | query-7-9 | update-2-61 | update-2-5 | update-10-10 | query-8-8,None 643 None None None None 456 None None 64 294 None None None 64
41 100 87 28 49 99 81 28 33 53,update-1-35 | query-7-9 | update-3-82 | update-5-24 | update-9-36 | query-10-10 | query-4-5 | update-9-95 | update-10-35 | update-3-36 | query-3-4 | query-9-9 | query-6-7 | update-6-65 | query-3-7,None 142 None None None 53 101 None None None 233 164 180 None 551
60 19 59 41 45 38 65 42 66 52,query-2-10 | update-6-65 | query-10-10 | query-8-9 | query-6-8 | update-3-48 | query-10-10 | query-9-10 | query-5-5 | update-7-45 | query-2-3 | query-3-5 | update-8-34 | query-6-8 | update-3-78,427 None 52 108 210 None 52 118 45 None 126 193 None 289 None
6 7 38 15 89 40 74 67 57 37,query-9-9 | query-3-7 | update-6-32 | query-2-7 | update-5-48 | update-1-85 | update-8-76 | query-10-10 | query-3-3 | query-4-4 | query-5-6 | query-10-10 | update-1-47 | query-5-8 | query-10-10,57 256 None 295 None None None 37 38 15 209 37 None 426 37
52 72 97 24 34 12 19 51 48 84,update-1-43 | query-7-10 | update-3-43 | query-10-10 | update-9-65 | query-6-10 | update-5-82 | query-3-10 | query-6-8 | update-3-5 | update-8-32 | query-1-8 | update-2-22 | update-5-56 | update-6-76,None 202 None 84 None 279 None 559 82 None None 566 None None None
93 91 28 86 77 30 55 98 83 47,update-7-64 | update-9-75 | query-8-9 | update-4-5 | query-4-9 | query-1-10 | query-3-4 | query-3-8 | update-8-32 | update-1-40 | update-6-54 | update-3-36 | query-10-10 | query-4-10 | query-7-9,None None 256 None 573 832 119 443 None None None None 47 706 407
37 82 100 71 41 47 25 56 35 45,update-8-58 | update-3-41 | query-7-7 | update-10-15 | query-10-10 | update-4-62 | query-4-9 | update-2-85 | update-8-5 | query-5-10 | query-1-8 | query-8-8 | update-8-75 | update-3-49 | query-8-10,None None 25 None 60 None 395 None None 327 710 119 None None 289
17 95 39 9 89 48 78 56 62 22,update-9-92 | query-3-5 | query-3-5 | update-7-89 | update-1-8 | update-3-16 | query-5-8 | update-6-14 | update-1-66 | update-2-74 | query-7-9 | update-5-65 | query-4-6 | update-6-62 | update-7-92,None 137 137 None None None 360 None None None 377 None 225 None None
16 25 91 35 24 66 21 78 58 41,update-4-70 | query-1-4 | query-4-4 | update-4-61 | update-8-88 | update-7-30 | update-10-24 | update-2-44 | update-3-47 | query-9-9 | query-10-10 | update-1-57 | query-4-8 | query-1-8 | update-9-92,None 237 105 None None None None None None 58 65 None 473 753 None
90 5 53 74 78 15 10 90 96 84,update-4-92 | query-8-10 | update-5-24 | query-5-5 | update-5-34 | update-4-20 | update-1-87 | update-1-83 | update-9-50 | query-7-8 | query-8-9 | update-10-62 | update-8-54 | update-10-10 | query-7-7,None 270 None 102 None None None None None 100 236 None None None 10
86 48 42 9 35 50 46 12 34 31,query-7-8 | update-3-57 | update-9-40 | query-2-5 | query-3-8 | query-5-8 | update-1-86 | query-4-10 | update-10-42 | update-2-36 | update-3-56 | query-9-10 | update-3-50 | query-10-10 | update-7-51,58 None None 191 251 143 None 257 None None None 147 None 73 None
81 47 37 24 44 61 44 100 89 48,query-3-9 | query-8-9 | update-5-57 | query-1-10 | query-5-7 | update-4-14 | query-4-4 | query-10-10 | update-6-93 | update-4-78 | update-4-48 | query-2-5 | update-5-27 | update-9-25 | query-5-5,399 189 None 632 206 None 38 48 None None None 349 None None 128
14 30 18 23 14 25 67 25 28 60,update-3-11 | query-2-2 | query-8-10 | update-6-49 | query-3-7 | update-7-25 | update-3-36 | query-7-7 | update-1-54 | update-9-4 | query-5-7 | query-2-8 | update-8-37 | query-7-8 | query-5-9,None 30 113 None 207 None None 92 None None 180 323 None 154 274
81 14 89 80 10 58 20 13 4 43,query-9-9 | update-5-39 | query-8-8 | query-1-2 | update-4-23 | update-7-90 | query-7-10 | query-3-10 | update-3-93 | query-3-9 | query-5-10 | query-4-9 | update-9-68 | update-9-84 | update-3-95,4 None 13 95 None None 170 469 None 519 277 337 None None None
10 10 89 29 32 75 60 74 87 71,update-8-4 | query-10-10 | query-6-7 | query-10-10 | query-1-6 | query-10-10 | update-5-55 | query-2-8 | query-9-9 | update-10-76 | query-4-7 | query-9-9 | update-6-21 | query-3-5 | query-6-9,None 71 135 71 245 71 None 428 87 None 251 87 None 205 321
91 72 88 65 93 28 69 100 73 9,update-7-42 | update-8-44 | update-8-54 | update-7-79 | update-8-75 | query-6-7 | update-3-88 | query-2-6 | query-9-10 | update-10-81 | update-9-3 | query-7-9 | query-6-7 | update-3-8 | query-2-2,None None None None None 218 None 434 82 None None 539 218 None 72
84 54 10 59 7 34 64 70 50 86,query-2-6 | update-5-75 | update-6-89 | update-8-14 | update-3-77 | query-4-9 | update-1-100 | update-6-22 | update-10-16 | update-9-58 | query-8-9 | update-3-84 | query-6-10 | update-8-86 | update-1-87,164 None None None None 462 None None None None 192 None 503 None None
37 95 10 83 95 45 77 90 76 52,update-3-63 | query-8-9 | update-9-91 | query-10-10 | update-1-17 | update-5-46 | query-7-8 | query-9-9 | update-10-90 | query-1-1 | update-4-66 | update-6-38 | update-8-57 | query-4-5 | query-3-10,None 166 None 52 None None 167 167 None 54 None None None 290 979
5 73 3 82 94 62 34 95 61 15,update-8-28 | query-6-9 | update-4-84 | update-7-96 | query-8-10 | query-2-8 | update-1-50 | query-1-2 | update-5-3 | query-3-4 | update-1-10 | query-3-5 | update-3-49 | query-9-9 | query-9-9,None 280 None None 199 651 None 128 None 169 None 266 None 61 61
44 34 19 43 2 96 4 8 51 2,update-10-53 | update-8-61 | query-6-6 | query-5-8 | query-7-9 | update-6-82 | query-7-8 | update-10-49 | update-1-50 | query-5-7 | update-10-47 | update-10-57 | query-6-7 | update-1-24 | query-3-3,None None 96 171 124 None 73 None None 184 None None 182 None 19
37 88 71 37 71 69 13 7 31 34,update-10-51 | update-8-58 | query-5-7 | update-7-53 | query-10-10 | update-4-49 | query-1-9 | update-9-34 | query-9-10 | update-6-89 | query-7-7 | update-10-64 | query-4-8 | update-4-74 | update-9-69,None None 153 None 85 None 584 None 150 None 66 None 446 None None
5 5 69 1 97 96 80 92 91 87,query-10-10 | query-4-8 | update-4-86 | query-10-10 | update-7-41 | query-1-4 | query-9-9 | update-3-63 | query-4-7 | query-2-2 | update-10-66 | update-1-38 | query-5-5 | update-2-100 | query-4-7,87 366 None 87 None 166 91 None 401 5 None None 97 None 401
19 39 25 36 49 28 1 57 20 93,update-10-3 | update-1-75 | update-5-15 | update-4-42 | query-5-6 | update-2-51 | update-2-72 | update-7-83 | query-8-10 | update-5-79 | query-9-10 | update-6-80 | query-5-7 | query-5-9 | query-3-9,None None None None 92 None None None 173 None 116 None 335 412 515
74 29 1 92 45 53 94 12 50 88,query-3-10 | query-3-7 | query-1-1 | query-7-7 | update-4-14 | query-9-10 | query-4-4 | update-4-20 | query-6-6 | update-7-33 | query-10-10 | update-6-54 | update-6-7 | query-7-10 | update-1-57,435 285 74 94 None 138 106 None 53 None 88 None None 277 None
62 10 92 65 1 25 45 40 95 83,update-4-5 | update-3-10 | update-5-39 | query-7-10 | update-7-57 | query-8-8 | update-8-48 | update-9-12 | update-6-22 | update-9-33 | update-7-19 | update-5-93 | query-7-8 | query-8-8 | query-5-9,None None None 263 None 40 None None None None None None 209 88 529
100 48 48 81 69 21 74 57 71 47,update-8-40 | update-10-69 | update-7-9 | query-9-9 | query-6-9 | update-3-23 | update-6-79 | query-6-10 | update-6-79 | update-6-68 | query-6-8 | query-10-10 | update-4-15 | update-3-94 | query-2-6,None None None 71 272 None None 467 None None 427 116 None None 625
